pincode,circle,region,division,offices
829104,Jharkhand Circle,Ranchi Region,Giridih Division,"Bermo SO, Amlo BO"
829105,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhadaninagar SO, Lapanga Colliery BO, Pali BO, Sanki BO"
829106,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bhurkunda Bazar SO, Deoria Bargaon BO, Jawaharnagar BO, Sundernagar BO"
829107,Jharkhand Circle,Ranchi Region,Giridih Division,"Bokaro Thermal SO, Guniato BO, Kanjkiro BO, Narayanpur BO, Armo B.O"
829108,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Giddi A SO
829109,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Giddi C SO, Dari BO"
829110,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Gola SO Ramgarh, Banda BO, Bariatu BO, Barlanga BO, Betulkala BO, Chari BO, Hesapora BO, Korrambey BO, Kumhardaga BO, Maganpur BO, Murpa BO, Sangrampur BO, Saram BO, Sondimra BO, Sosokala BO, Sutari BO, Toiyar BO, Saradih BO"
829111,Jharkhand Circle,Ranchi Region,Giridih Division,"Gomia SO, Hardiamo BO, Hossir BO, Saram BO, Siyari B.O"
829112,Jharkhand Circle,Ranchi Region,Giridih Division,"IEGomia SO, Barkipunu BO, Dania BO, Kharki BO, Nerki BO, Penk BO, Khanbhra B.O"
829113,Jharkhand Circle,Ranchi Region,Giridih Division,"Jarangdih Colliery SO, Khetko BO"
829114,Jharkhand Circle,Ranchi Region,Giridih Division,"Jaridih Bazar SO, Chalkari BO"
829115,Jharkhand Circle,Ranchi Region,Dhanbad Division,Garri BO
829116,Jharkhand Circle,Ranchi Region,Giridih Division,Kathara SO
829117,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bharechnagar BO, Digwar BO, Kander BO, Karma BO, Marar SO"
829118,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Jainagar BO, Patratu Diesel Colony ND BO, Terpa BO, Patratu SO"
829119,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Hafua BO, Hariharpur BO, Koto BO, Palani BO, Talatand BO, Patratu TPS SO"
829121,Jharkhand Circle,Ranchi Region,Giridih Division,"Peterbar SO, Arjuwa BO, Chandipur BO, Chargi BO, Dantoo BO, Mirzapur BO, Mungasarla BO, Ordana BO, Rohar BO, Uttasara BO"
829122,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Ramgarh Cantt HO, Ramgarh SO Ramgarh"
829123,Jharkhand Circle,Ranchi Region,Giridih Division,"Right Bank Tenughat SO, Champi BO, Ulgada BO"
829125,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Sayal SO
829126,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Sounda C SO
829127,Jharkhand Circle,Ranchi Region,Giridih Division,"Sunday Bazar SO, Bedkaro BO, Kurpania B.O"
829128,Jharkhand Circle,Ranchi Region,Giridih Division,"Swang Colliery SO, Hazari BO"
829129,Jharkhand Circle,Ranchi Region,Giridih Division,"Tenughat Dam SO, Religarha SO"
829130,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Prc SO
829131,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Src SO
829132,Jharkhand Circle,Ranchi Region,Giridih Division,"Bhandaridah SO, Gunjardih BO, Turio BO"
829133,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Souda Basti BO, Sounda D SO"
829134,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Bargaon BO, Chainpur BO, Mahuatand BO, Tirla BO, Arakanta BO, Sarubera SO"
829135,Jharkhand Circle,Ranchi Region,Hazaribagh Division,Bhurkunda SO
829143,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Balkudra SO, Gegda BO, Bicha BO"
829144,Jharkhand Circle,Ranchi Region,Giridih Division,"Phusro Bazar SO, Argamo BO, Birni BO, Chapri BO, Chirudih BO, Makoli BO, Nawadih BO, Pichari BO, Potso BO, Surhi BO, Tantri BO"
829149,Jharkhand Circle,Ranchi Region,Giridih Division,TTPSLalpania SO
829150,Jharkhand Circle,Ranchi Region,Hazaribagh Division,"Honhey BO, Sandi BO, Sikani BO, Bhuchungdih BO, Marangmarcha BO, Ramgarh Project SO"
829201,Jharkhand Circle,Ranchi Region,Palamau Division,"Bachra SO, Bundu BO, Bachra North B.O"
829202,Jharkhand Circle,Ranchi Region,Palamau Division,"Balumath SO, Dahunawada BO, Balubhang BO, Besra BO, Chedra BO, Chiru BO, Darha BO, Ganeshpur BO, Garhgoma BO, Herhanj BO, Holong BO, Ichak BO, Jhabar BO, Marang Loiya BO, Murupa BO, Phulsu BO, Seregara BO, Serendag BO, Sibla BO, Amarwadih B.O, Basiya B.O, Bhagya B.O, Chetag  B.O, Latu B.O, Rajwar B.O, Salaiya B.O, Salve B.O, Tasu B.O, Toti B.O"
829203,Jharkhand Circle,Ranchi Region,Palamau Division,"Chandwa SO, Aan BO, Bari BO, Bhaisadon BO, Chakla BO, Damodar BO, Hutap BO, Kamta BO, Malhan BO, Roll BO, Sasang BO, Serak BO, Alaudia B.O, Banhardi B.O, Barwatoli B.O, Boda B.O, Chetar B.O, Dadhu B.O, Jamira B.O, Ladhup B.O"
829204,Jharkhand Circle,Ranchi Region,Palamau Division,"Chhipadohar SO, Baresandh BO, Chungru BO, Garu BO, Karwai BO, Kerh BO, Kottam BO, Kumandih BO, Lat BO, Mundu BO, Rud B.O, Barkadih B.O, Kuchila B.O, Ukamar B.O"
829205,Jharkhand Circle,Ranchi Region,Palamau Division,"Khalari SO, Chama BO, Diwan Nagar BO, Tumang B.O, Bishrampur B.O, Bukbuka B.O, Churi South B.O, Hutap B.O, Mayapur B.O"
829206,Jharkhand Circle,Ranchi Region,Palamau Division,"Latehar Hsgii SO, Balu BO, Bariyatu Jagir BO, Hethpochra BO, Jalim BO, Kaima BO, Kura BO, Mongor BO, Murup BO, Pandeypura BO, Temki BO, Udaipura BO, Dihi B.O, Nawari B.O, Sasang B.O"
829207,Jharkhand Circle,Ranchi Region,Palamau Division,"Latehar Rsso SO, Demu BO, Labarpur BO, Ledhpa BO, Makka BO, Nawagarh BO, Richughuta BO, Sarju BO, Dhankara B.O, Ganeshpur B.O, Parsahi B.O, Sishi B.O, Tarwadih B.O"
829208,Jharkhand Circle,Ranchi Region,Palamau Division,"Mc Cluskiganj SO, Nawadih BO, Nindra BO, Lapra B.O"
829209,Jharkhand Circle,Ranchi Region,Palamau Division,"Ray SO, Hindgir BO, Bamne B.O, Churi East B.O, Churi North B.O, Patal B.O"
829210,Jharkhand Circle,Ranchi Region,Palamau Division,"Dakra Colliery SO, Churi Madhay B.O"
829301,Jharkhand Circle,Ranchi Region,Dhanbad Division,"Jaina SO, Arajoo BO, Bahadurpur BO, Bandhdih BO, Baroo BO, Chando BO, Chilgada BO, Gangjori BO, Pathuria BO"
831001,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Jamshedpur HO, Bistupur Bazar SO, CoOp  College BO, Sakchi Court SO, Sakchi SO, Civil Court SO"
831002,Jharkhand Circle,Ranchi Region,Singhbhum Division,"BKutung BO, Bagbera BO, Bara Deoli BO, Bhalki BO, Chakri BO, Dudra BO, Govindpur BO, Haludbani BO, Haludpukur BO, Harhargutu BO, Itagarh BO, Jumal BO, Juri BO, Karandih BO, Khairpal BO, Kitadih BO, Kowali BO, Narda BO, Potka BO, Rajnagar BO, Rasun Chopa BO, Rola BO, Sangrain BO, Sarjamda BO, Tangrain BO, Tatanagar SO"
831003,Jharkhand Circle,Ranchi Region,Singhbhum Division,Golmuri SO
