pincode,circle,region,division,offices
816102,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Barhait SO, BKadma BO, Baraghaghri BO, Barmasia BO, Bhognadih BO, Borbandh BO, Dhamni BO, JKumarjori BO, Kusmaha BO, Labri BO, PKBazar BO, Phulbanga BO, Rohra BO, Simlongcolliery BO, Talbaria BO"
816103,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Benagaria SO, Banspahari BO, Catupara BO, Daldali BO, Ganpura BO, Kajladaha BO, Maluti BO, Manjhladih BO, Pakdaha BO, Pinargaria BO, Sarasdangal BO"
816104,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Hiranpur SO, Arjunpur BO, Bichmahal BO, Dangapara BO, Dhoadanga BO, Dulmidanga BO, Litipara BO, Mohulbona BO, Padarkola BO, Surajbera BO, Talpahari BO"
816105,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Kotalpokhar SO, Binodpur BO, Gaganpahari BO, Jambad BO, Kistonagar BO, Mayur Kola BO, Patharia BO"
816106,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bathandanga BO, Birkitty BO, Debinagar BO, Dharamkhanpara BO, Khagra BO, Khanpur BO, Makdampur BO, Rollagram BO, Sagberia BO, Sahargram BO, Tarapur BO, M Raohipur BO, Maheshpur Raj SO, Askandha BO, Barkiari BO"
816107,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Bhawnipur BO, Chengadanga BO, Daldali BO, Gandhaipur BO, Illami BO, Jhikarhati BO, Kalidaspur BO, Malpahari Koerisiding BO, Manirampur BO, Mohanpur BO, Nagarnabi BO, Narottempur BO, Prithinagar BO, Rashpur BO, Sangrampur BO, Sitapahari BO, Sitishnager BO, Torai BO, Deopur BO, Pakur SO, Pakur RS SO"
816108,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Rajmahal SO, Choukidhab BO, Jamnager BO, Kajigoun BO, Mahasinghpur BO, Narayanpur BO, Narayanpur East Diara BO, PKBazar BO, Palasgachi BO, Phudkipur BO, Piyarpur BO, Udhwa BO, Kassim Bazar SO"
816109,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Sahibganj SO, Balapokhar BO, Baluagairah BO, Banjhi BO, Bara Madansahi BO, Barajirwabari BO, Ganga Prasad Diara BO, Hariprasad Diara BO, Hazipur Bari Kodarjana BO, Mahadeo Ganj BO, Maharajpur BO, Rampur BO, Sahibganj College SO, Sahibganj Court SO"
816110,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Pathna SO, BB Mangladih BO, Banskola BO, Bartalla BO, Bishanpur BO, Ghatiari BO, Lakhipur BO"
816115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Sakrigali Ghat SO
816116,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Tinpahar RS SO, Bara Durgapur BO, Brindaban BO, Jonka BO, Kalyanchak BO"
816117,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Balidih BO, Bannabgram BO, Barasinghpur BO, Bondiga BO, Chowkisal BO, Karipahari BO, Karudih BO, Khagachua BO, Khaksa BO, Lagdum BO, Moglabandh BO, Paliadaha BO, Phuljhijhri BO, Raj Daha BO, Pakuria SO"
816118,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Shikaripara SO, Asanbani BO, Bankijore BO, Barmasia BO, Dhaka BO, Dhanbasa BO, Kharu Kadma BO, Kolhabadar BO, Mohal Pahari BO, PP Kadma BO, Pratappur BO, RB Palasi BO, Saraidaha BO, Simaljore BO"
816120,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Borio SO, Aprol BO, Chotabangama BO, Hatigarah BO, Motipahari BO, Telo BO"
816129,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Taljhari SO, Karanpura BO, Mangalhat English BO, Sarkanda BO"
