pincode,circle,region,division,offices
831004,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Govindpur BO, Ghorabandha BO, Luabasa BO, Telco Works SO, Indranagar SO, Kalimati Market SO, N/A, Telco Plaza Market SO, Hurlung BO"
831005,Jharkhand Circle,Ranchi Region,Singhbhum Division,Kadma SO
831006,Jharkhand Circle,Ranchi Region,Singhbhum Division,Jugsalai SO
831007,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Burma Mines SO, N M L SO"
831009,Jharkhand Circle,Ranchi Region,Singhbhum Division,Agrico SO
831011,Jharkhand Circle,Ranchi Region,Singhbhum Division,Sonari SO East Singhbhum
831012,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Bhilaipahari BO, Hirachuni BO, Kapali BO, Pipla BO, Belajuri BO, Mango SO, Azadnagar SO, MGM Medical College SO"
831013,Jharkhand Circle,Ranchi Region,Singhbhum Division,Adityapur SO
831014,Jharkhand Circle,Ranchi Region,Singhbhum Division,NIT SO
831015,Jharkhand Circle,Ranchi Region,Singhbhum Division,Gobindpur Housing Colony SO
831016,Jharkhand Circle,Ranchi Region,Singhbhum Division,Rahargora SO
831017,Jharkhand Circle,Ranchi Region,Singhbhum Division,Baridih Colony SO
831019,Jharkhand Circle,Ranchi Region,Singhbhum Division,Birsanagar SO
831020,Jharkhand Circle,Ranchi Region,Singhbhum Division,Pardih
831021,Jharkhand Circle,Ranchi Region,Singhbhum Division,N/A
832101,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Baharagora SO, Sakra BO, Angarpara BO, Arong BO, Bamdole BO, Baragaria BO, Benda BO, Chandrapur BO, Chhota Porulia BO, Chitreshwar BO, Damjuri BO, Dandudih BO, Darkhuli BO, Gamharia BO, Ghaspada BO, Guhiapal BO, Jamshola BO, Jarapal BO, Joypura BO, Kaima BO, Kaimi BO, Kesharda BO, Khandamouda BO, Kumardubi BO, Malua BO, Matihana BO, Mouda BO, Murakati BO, Ram Chandra Pur BO, Bankata BO, BANMAKRI BO"
832102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Amlatola BO, Asanboni BO, Bengo BO, Bhatin BO, Butgora BO, Dhirol BO, Dorkasai BO, Kalikapur BO, Manpur BO, Rajdoha BO, Hathibinda BO, Jadugoda Mines SO, Dhobani  BO, Kuldiha BO"
832103,Jharkhand Circle,Ranchi Region,Singhbhum Division,Moubhandar SO
832104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Meria BO, Khairbani BO, Kuilisuta BO, Badia BO, Bankisole BO, Bara Asti BO, Barabotla BO, Bhagabandhi BO, Dumuria BO, Kumarshol BO, Kantasole BO, Mosabani Mines SO, Kantashol BO, Palasbani BO, Parulia BO, Kharida BO, Bara Kanjia BO"
832105,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Laylan BO, Bangurda BO, Bankuchia BO, Bidra BO, Chirudih BO, Gobarghusi BO, Jorsiya BO, Kamalpur BO, Kasmar BO, Kumir BO, Lachhipur BO, Pagda BO, Rasik Nagar BO, Dighi BO, Patamda SO, Sisda BO, Mahulbani BO"
832106,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Rakha Mines BO, Matigora BO, Rakha Copper Project SO"
832107,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Gitilata BO, Kendamundi BO, Shankarda BO, Tumung BO, Sundarnagar SO"
832108,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Gamharia SO, Baramari BO, Burudih BO, Dugdha BO, Nowagarh BO"
832109,Jharkhand Circle,Ranchi Region,Singhbhum Division,Adityapur Industrial Area SO
832111,Jharkhand Circle,Ranchi Region,Singhbhum Division,Narwa Mines  SO
832112,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chhota Bangurda BO, Laojora BO, Kuiani BO, Madhavpur BO, Barachirka BO, Beldih BO, Koira BO, Pokharia BO, Paharpur BO, Boram SO"
832113,Jharkhand Circle,Ranchi Region,Singhbhum Division,Hata Chowk SO
832301,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakulia SO, Jamuwa BO, Amlagora BO, Balibandh BO, Banasoli BO, Baramara BO, Bardikanpur BO, Bend BO, Bhalukbinda BO, Bhandaru BO, Gandanata BO, Kalapathar BO, Kalidaspur BO, Katushole BO, Kendadangri BO, Lodhasholi BO, Manusmuria BO, Mural BO, Rupuskundi BO, Sardiha BO, Simdi BO, Chingra BO, Pathara BO, Sonahatu BO, Purnapani BO, Jugitupa BO, Bhaduakocha BO, Ulda BO, Hariniya  BO"
832302,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Dhalbhumgarh SO, Malkudi BO, Arjunbera BO, Baliaguri BO, Balijuri BO, Bhalki BO, Gohaldangra BO, Gurabanda BO, Kaliam BO, Kantaboni BO, Kokpara BO, Matiabandhi BO, Mohulishole BO, Murathakura BO, Nutangarh BO, Panduda BO, Pitajuri BO, Rautara BO, Shyam Sunderpur BO, Singhpura BO, Kanas BO, Kalaiya BO, Forest Block BO"
832303,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Ghatsila SO, Asna BO, Bankati BO, Barajuri BO, Dobha BO, Edelbera BO, Haldajuri BO, Jhantijharna BO, Karaduba BO, Kendadih BO, Mohanpur BO, Pungora BO, Surda Mines BO, Gopalpur BO, Benashol BO, Chukripara BO"
832304,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Barakurshi BO, Beko BO, Chorinda BO, Hendaljuri BO, Kesharpur BO, Suklara BO, Mahulia SO, Ulda BO"
832401,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chandil SO, Adardih BO, Bamni BO, Bamni Chaliyama BO, Bareda BO, Bhadudih BO, Chainpur BO, Chelgu BO, Ghoraling BO, Jugilong BO, Kanderbera BO, Madhupur BO, Nimdih BO, Simagunda BO, Suksari BO, Tankocha BO, Tilla BO"
832402,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Hudu BO, Kandra SO Seraikelakharsawan"
832403,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Choura BO, Dulmi BO, Ichadih BO, Janum BO, Kukru BO, Muru BO, Shirum BO, Situ BO, Soro BO, Tiruldih SO"
832404,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chowka SO, Bandu BO, Bansa BO, Buruhatu BO, Chipri BO, Deoltand BO, Gaurangkocha BO, Ghatdulmi BO, Hesakocha BO, Ichagarh BO, Jhabri BO, Kashidih BO, Khunti BO, Lepatand BO, Moisara BO, Nadisai BO, Sidhdih BO, Tamari BO, Tikar BO, Tuta BO, Urmal BO"
833101,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Galudih BO, Amda SO, Gopidih BO, Padampur BO"
833102,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chakradharpur SO, Hurangda BO, Baipee BO, Barabamboo BO, Bhalupani BO, Chainpur Khas BO, Chirubera BO, Gopinathpur BO, Hathia BO, Hesalkuti BO, Jamid BO, Jharjharia BO, Jojokurma BO, Kera BO, Keraikela BO, Lotapahar BO, Mahulpani BO, Nakti BO, Otar BO, Roladih BO, Sarjamhatu BO, Toklo BO, Unchibita BO, Landupada BO, Chakradharpur Bazar SO, Chakradharpur Colony SO, Nalita BO, Kulitorang BO, Hoyahatu BO, Kendu BO, Itore BO, Chandri BO, Itihasa BO, Gulkera BO, Surguru BO, Hatnatorang BO, Bharania BO"
833103,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Goilkera SO, Bari BO, Kairam BO, Tuniagajpur BO, Bila BO, Bara BO, Kebra BO, Arahasa BO, Tarkatkocha BO, Sarugara BO"
833104,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Manoharpur SO West Singhbhum, Makranda BO, Lailor BO, Baikera BO, Barposh BO, Dumrita BO, Patherbasa BO, Posiata BO, Rajanand Pur BO, Robkera BO, Urkia BO, Barakenduda BO, Digha BO, Kaida BO, Nandpur BO, Dimduli BO, Kolpotka BO, Harta BO, Tomdel BO, Jharbera BO, Binju BO, Rundhikocha BO"
833105,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Sonua SO, Golmunda BO, Porahat BO, Asantalia BO, Bhalurungi BO, Jarakel BO, Kuira BO, Lonjo BO, Balijori BO, Kadamdiha  BO, Dewanbir BO"
833106,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chiria SO, Chotanagra BO, Salai BO, Gangda BO"
833201,Jharkhand Circle,Ranchi Region,Singhbhum Division,"Chaibasa HO, Bari Bazar SO"
