pincode,circle,region,division,offices
835223,Jharkhand Circle,Ranchi Region,Ranchi Division,"Simdega SO, Bagdega BO, Basain BO, Bombalkera BO, Gorarjora BO, Gutbahar BO, Hethma BO, Jokbahar BO, Kersai BO, Keshalpur BO, Khuntitoli BO, Kinkel BO, Kochedega BO, Konaskela BO, Kulukera BO, Malsera BO, Meromdega BO, Pithra BO, Sewai BO, Taisera BO, Tumdega BO, Tupudega Pandripani BO"
835224,Jharkhand Circle,Ranchi Region,Ranchi Division,"Sisai SO Gumla, Arko BO, Bargaon BO, Bhurso BO, Chharda BO, Datia BO, Jura BO, Karanj BO, Karkari BO, Karounda BO, Khora BO, Murgu BO, Nagar BO, Nagpheni BO, Olmunda BO, Patia BO, Sakrauli BO, Shiwnathpur BO, Sogra BO, kraundajor BO, Pandaria B.O, Silaphari B.O, Dumba B.O"
835225,Jharkhand Circle,Ranchi Region,Ranchi Division,"Tamar SO, Amlesha BO, Arki BO, Baburamdih BO, Baredih BO, Chirudih BO, Chokahatu BO, Doreya BO, Haramlohar BO, Janumpiri BO, Jargo BO, Jilingserenge BO, Jojohatu BO, Kochasindri BO, Kota BO, Landupdih BO, Lungtu BO, Mankidih BO, Norhi BO, Parasi BO, Pundidiri BO, Rargaon BO, Rugari BO, Salgadih BO, Sarjamdih BO, Ulidih BO, Ulilohar BO, Vijaygiri BO, Ulihatu BO, Kundla B.O, Barinijkil B.O, Kurkutta B.O"
835226,Jharkhand Circle,Ranchi Region,Ranchi Division,"Thethaitangar SO, Baliajor BO, Bansjor BO, Behrinbasa BO, Bolba BO, Jampani BO, Karramunda BO, Kereya BO, Kodapani BO, Kundurmunda BO, Kurmia BO, Piriyapoch BO, Samsera BO, Taraboga BO, Targa BO, Urta BO, Koranjo BO"
835227,Jharkhand Circle,Ranchi Region,Ranchi Division,"Torpa SO, Ambapakhna BO, Barda BO, Dorma BO, Dumangdiri BO, Gudri BO, Icha BO, Jaipur BO, Kamdara BO, Kasmar BO, Khatanga BO, Latra BO, Marcha BO, Pakra RS BO, Patpur BO, Pimpi BO, Pokla RS BO, Raisimla BO, Ramtolaya BO, Rania BO, Salegutu BO, Sarbo BO, Sarita BO, Sode BO, Sundari BO, Surhu BO, Tirla BO, Barkuli B.O, Diyankel B.O, Tamba B.O"
835228,Jharkhand Circle,Ranchi Region,Ranchi Division,"Biru SO, Bhelwadih BO, Keonddih BO, Kuruskela BO, Pakardanr BO, Phulwartangar BO, Sikariatand BO, Tamra BO"
835229,Jharkhand Circle,Ranchi Region,Ranchi Division,"Basia SO, Banaghutu BO, Banai BO, Gangara BO, Gara BO, Haphu BO, Konbirnawatoli BO, Kumhari BO, Longa BO, Lungtu BO, Mamarla BO, Moreng BO, Sukurda BO, Tetra B.O"
835230,Jharkhand Circle,Ranchi Region,Ranchi Division,"Noadih SO, Bhagitoli BO, Bhikhampur BO, Chiraiyan BO, Dina BO, Govindpur BO, Hisri BO, Khetli BO, Lawabar BO, Majhgaon BO, Rajawal BO"
835231,Jharkhand Circle,Ranchi Region,Ranchi Division,"Bishunpur SO, Adar BO, Banari BO, Harup BO, Jamti BO, Jokarigutwa BO, Jori BO, Kurag BO, Narwa BO, Marwai BO, Ruki BO, Salemnawatoli BO, Sarango BO, Sato BO"
835232,Jharkhand Circle,Ranchi Region,Ranchi Division,"Nawagarh SO Gumla, Amgaon BO, Birkera BO, Kemte BO, Karida BO, Karondi BO, Kondra BO, Konkel BO, Parsa BO, Pulung BO, Raidih BO, Silam BO, Sursang BO, Telgaon BO, Pibo B.O, Kobja B.O, Fasia B.O"
835233,Jharkhand Circle,Ranchi Region,Ranchi Division,"Toto SO, Anjan BO, Basua BO, Ghatgaon BO, Gunia BO, Kharka BO, Kotam BO, Nawadih BO, Sakarpur Gamharia BO, Asani BO, Phori BO"
835234,Jharkhand Circle,Ranchi Region,Ranchi Division,"Govindpur SO Ranchi, Bikwadag BO, Champadih BO, Govindpur Road BO, Jariagarh BO, Koisera BO, Lapa BO, Lapung BO, Late BO, Mahugaon BO, Pokta BO, Rendwa BO"
835235,Jharkhand Circle,Ranchi Region,Ranchi Division,"Gotra SO, Deobahar BO, Garja BO, Kjijra BO, Konbegi BO, Konpala BO, Lathakhaman BO, Rengari BO"
835301,Jharkhand Circle,Ranchi Region,Ranchi Division,"Itki SO, Balsota BO, Beyasi BO, Bhawro BO, Bisahakhatanga BO, Charkidumri BO, Mandru BO, Murto BO, Narkopi BO, Ranikhatanga BO, Sakra BO, Semra BO, Silagain BO, Tangarbasli BO, Tikratoli BO, Korambe BO, Murkuni BO, Tutlo B.O, Loyo B.O"
