pincode,circle,region,division,offices
814114,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Deosang BT SO, Gurukul Vidyapith BO, Maladih BO, Mathurapur BO, Sakrigali BO, Sangrampur Lorhiya BO, Simra BO"
814115,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Hindipith SO
814116,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,Satsang SO
814118,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Basukinathdham SO, Bagjhopa BO, Baratanr BO, Chamrabahiar BO, Dhamnilata BO, Haripur BO, Laximipur BO, Siktia BO, Singhni BO"
814119,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Kurwa SO, Asansol BO, Gamra BO, Gando BO, Gandrakhpur BO, Ghasipur BO, Gugisimal BO, K Baskichowk BO, Kathalia BO, Kumrabad BO, Makrampur BO, Morbhanga BO, Pahrudih BO, Pattabari BO"
814120,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Ghormara SO, Bargo BO, Dumariahat BO, Gadibahirkunda BO, Hariharpur BO, Jhallar BO, Kaladumaria BO, Karma BO, Morney BO, Rajan Amar Kunda BO, Sahara BO, Satpahari BO, Simarjore BO, T Basdiha BO, Bahjrikunda BO, Jardaha BO"
814131,Bihar circle,"East Region, Bhagalpur",Bhagalpur Division,"Bank BO, Bhorabazar  BO, Bhorsar BO, Inarabaran BO, Jokta Fatehpur BO, Kumartar BO, Lohari BO, Pelwa B.O, Chandan SO"
814133,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Godda SO, Amlo BO, Baksara BO, Basantpur BO, Chapri BO, Deobandha BO, Dubrajpur BO, Fasia BO, Gandhigram BO, Gangtaklan BO, Ghatdumariya BO, Ghatkusmani BO, Godda College BO, Gumma BO, Haripur Gorbana BO, Hilaway BO, Jaminipaharpur BO, Khatnai BO, Korkaghat BO, Kouribahiar BO, Latauna BO, Lohbandha BO, Lukluki BO, Maheshpur BO, Makhni BO, Malini BO, Malrampur BO, Mohanpur BO, Motia BO, Motiya Dumariya BO, Nepura BO, Pathra BO, Ramla Dikwani BO, Saidapur BO, Sarba BO, Simarda BO"
814141,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jarmundi SO, Amba Jarowadih BO, Banwara BO, Beldaha BO, Bishanpur BO, Dudhani BO, P Jaratikar BO, Raikinari BO"
814142,Jharkhand Circle,Ranchi Region,Santhal Parganas Division,"Jasidih SO, Banka BO, Dabar Gram BO, Deopur BO, Kenmankathi BO, Madhopur BO"
